time,open,high,low,close,volume
2022-05-16 14:00:00+00:00,1805.86,1805.88,1798.82,1800.43,4668
2022-05-16 15:00:00+00:00,1800.45,1810.45,1797.97,1808.06,8252
2022-05-16 16:00:00+00:00,1808.06,1810.67,1804.79,1807.66,10578
2022-05-16 17:00:00+00:00,1807.68,1815.86,1807.38,1812.16,8040
2022-05-16 18:00:00+00:00,1812.15,1814.28,1810.44,1813.77,4727
2022-05-16 19:00:00+00:00,1813.75,1816.45,1811.87,1815.52,3077
2022-05-16 20:00:00+00:00,1815.52,1818.1,1813.66,1816.23,3526
2022-05-16 21:00:00+00:00,1816.24,1823.03,1814.35,1822.45,4399
2022-05-16 22:00:00+00:00,1822.46,1826.82,1822.21,1826.25,4430
2022-05-16 23:00:00+00:00,1826.26,1826.5,1822.1,1824.75,1422
2022-05-17 01:00:00+00:00,1824.6,1825.48,1822.84,1824.5,1629
2022-05-17 02:00:00+00:00,1824.48,1829.15,1824.44,1826.33,2137
2022-05-17 03:00:00+00:00,1826.33,1828.84,1825.14,1825.49,2731
2022-05-17 04:00:00+00:00,1825.48,1826.87,1822.27,1826.16,6112
2022-05-17 05:00:00+00:00,1826.18,1828.22,1824.65,1824.71,3175
2022-05-17 06:00:00+00:00,1824.71,1825.45,1821.76,1822.64,2759
2022-05-17 07:00:00+00:00,1822.62,1825.56,1822.62,1823.7,2002
2022-05-17 08:00:00+00:00,1823.67,1828.81,1823.5,1828.38,2914
2022-05-17 09:00:00+00:00,1828.41,1830.3,1826.59,1830.17,4673
2022-05-17 10:00:00+00:00,1830.17,1830.17,1823.28,1824.13,5742
2022-05-17 11:00:00+00:00,1824.12,1828.96,1823.68,1827.91,5402
2022-05-17 12:00:00+00:00,1827.93,1829.82,1826.04,1828.41,4728
2022-05-17 13:00:00+00:00,1828.33,1830.36,1826.71,1827.52,4858
2022-05-17 14:00:00+00:00,1827.52,1836.04,1826.58,1834.57,5685
2022-05-17 15:00:00+00:00,1834.57,1835.88,1827.62,1832.34,9693
2022-05-17 16:00:00+00:00,1832.3,1832.89,1822.32,1823.9,10244
2022-05-17 17:00:00+00:00,1823.92,1825.62,1817.92,1822.01,10105
2022-05-17 18:00:00+00:00,1822.02,1822.86,1818.49,1818.68,6428
2022-05-17 19:00:00+00:00,1818.66,1823.14,1817.92,1821.29,5876
2022-05-17 20:00:00+00:00,1821.24,1821.89,1818.43,1819.28,4595
2022-05-17 21:00:00+00:00,1819.25,1820.71,1813.6,1816.25,8995
2022-05-17 22:00:00+00:00,1816.22,1817.67,1814.84,1815.96,4158
2022-05-17 23:00:00+00:00,1815.96,1816.23,1812.83,1814.78,2017
2022-05-18 01:00:00+00:00,1814.54,1815.63,1814.0,1814.35,1226
2022-05-18 02:00:00+00:00,1814.3,1814.84,1812.96,1814.49,1847
2022-05-18 03:00:00+00:00,1814.45,1817.12,1814.23,1816.22,2615
2022-05-18 04:00:00+00:00,1816.34,1817.21,1810.92,1812.16,5148
2022-05-18 05:00:00+00:00,1812.16,1813.69,1808.85,1812.53,3865
2022-05-18 06:00:00+00:00,1812.52,1812.75,1807.61,1808.44,3474
2022-05-18 07:00:00+00:00,1808.43,1810.01,1807.86,1809.0,2239
2022-05-18 08:00:00+00:00,1809.0,1811.52,1808.74,1811.52,3726
2022-05-18 09:00:00+00:00,1811.5,1815.12,1809.71,1809.72,4848
2022-05-18 10:00:00+00:00,1809.72,1816.63,1809.48,1815.49,7235
2022-05-18 11:00:00+00:00,1815.49,1817.18,1813.57,1815.54,6477
2022-05-18 12:00:00+00:00,1815.46,1820.22,1813.93,1819.4,5644
2022-05-18 13:00:00+00:00,1819.4,1820.39,1815.73,1817.29,4895
2022-05-18 14:00:00+00:00,1817.29,1817.54,1807.56,1808.85,6503
2022-05-18 15:00:00+00:00,1808.9,1814.67,1807.25,1811.28,10933
2022-05-18 16:00:00+00:00,1811.25,1815.81,1809.72,1810.35,11162
2022-05-18 17:00:00+00:00,1810.38,1814.88,1810.04,1814.11,12344
2022-05-18 18:00:00+00:00,1814.11,1824.67,1813.5,1823.4,11060
2022-05-18 19:00:00+00:00,1823.48,1823.58,1819.59,1820.78,4943
2022-05-18 20:00:00+00:00,1820.79,1821.09,1815.37,1817.49,7481
2022-05-18 21:00:00+00:00,1817.47,1819.79,1815.92,1818.7,6857
2022-05-18 22:00:00+00:00,1818.7,1822.05,1815.47,1816.17,6829
2022-05-18 23:00:00+00:00,1816.14,1817.37,1815.61,1816.47,2539
2022-05-19 01:00:00+00:00,1815.97,1817.39,1815.35,1817.17,1369
2022-05-19 02:00:00+00:00,1817.17,1817.19,1815.35,1816.03,2535
2022-05-19 03:00:00+00:00,1816.02,1816.77,1814.28,1815.07,4865
2022-05-19 04:00:00+00:00,1815.13,1816.92,1813.83,1815.51,6465
2022-05-19 05:00:00+00:00,1815.51,1816.72,1814.67,1815.61,3834
